name,time,fileCode,fileName,description,keywords
2024-04-24_10-22-15 Ciclofaixa rota Setúbal 1 etapa ciclofaixa,2024/04/24 13:22:18+00,"071",2024-04-24_10-22-15_Ciclofaixa_rota_Setúbal_1_etapa_ciclofaixa_2024-04-24_10-22-15.gpx,CF019,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-24_11-34-46 Ciclofaixa Visc. Jequitinhonha 2 etapa,2024/04/24 14:34:47+00,"072",2024-04-24_11-34-46_Ciclofaixa_Visc._Jequitinhonha_2_etapa_2024-04-24_11-34-46.gpx,CF029,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-24_11-35-59 ciclofaixa av visc jequitinhonha 2 etapa,2024/04/24 14:36:03+00,"073",2024-04-24_11-35-59_ciclofaixa_av_visc_jequitinhonha_2_etapa_2024-04-24_11-35-59.gpx,CF029,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-24_12-02-24 Ciclofaixa Rota Setúbal 2 etapa Rua João Cardoso Aires,2024/04/24 15:02:27+00,"074",2024-04-24_12-02-24_Ciclofaixa_Rota_Setúbal_2_etapa_Rua_João_Cardoso_Aires_2024-04-24_12-02-24.gpx,CF030,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-24_12-02-32 ciclofaixa rua joao cardoso ayres (rota setubal 2 etapa),2024/04/24 15:02:36+00,"075",2024-04-24_12-02-32_ciclofaixa_rua_joao_cardoso_ayres_(rota_setubal_2_etapa)_2024-04-24_12-02-32.gpx,CF030,
2024-04-24_12-13-59 ciclofaixa rua joao cardoso ayres (rota setubal 2 etapa) - continuação da anterior pq o apl abriu outra trilha nao sei como,2024/04/24 15:14:00+00,"076",2024-04-24_12-13-59_ciclofaixa_rua_joao_cardoso_ayres_(rota_setubal_2_etapa)_-_continuação_da_anterior_pq_o_apl_abriu_outra_trilha_nao_sei_como_2024-04-24_12-13-59.gpx,CF030,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-24_12-50-42 Ciclofaixa Visc de jequitinhonha 2 etapa,2024/04/24 15:50:46+00,"077",2024-04-24_12-50-42_Ciclofaixa_Visc_de_jequitinhonha_2_etapa_2024-04-24_12-50-42.gpx,CF029,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-24_12-50-53 ciclofaixa visc jequitinhonha 2 etapa,2024/04/24 15:50:56+00,"078",2024-04-24_12-50-53_ciclofaixa_visc_jequitinhonha_2_etapa_2024-04-24_12-50-53.gpx,CF029,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-24_13-07-25 Ciclorota Rua visc jequitinhonha 2 etapa,2024/04/24 16:07:25+00,"079",2024-04-24_13-07-25_Ciclorota_Rua_visc_jequitinhonha_2_etapa_2024-04-24_13-07-25.gpx,CR029,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-24_13-08-09 ciclorrota jequitinhonha 2 etapa,2024/04/24 16:08:12+00,"080",2024-04-24_13-08-09_ciclorrota_jequitinhonha_2_etapa_2024-04-24_13-08-09.gpx,CR029,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-24_13-29-02 ciclorrota visc jequitinhonha etapa 1,2024/04/24 16:29:05+00,"081",2024-04-24_13-29-02_ciclorrota_visc_jequitinhonha_etapa_1_2024-04-24_13-29-02.gpx,CR023,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-24_13-29-06 ciclorota visconde de jequitinhonha 1 etapa,2024/04/24 16:29:06+00,"082",2024-04-24_13-29-06_ciclorota_visconde_de_jequitinhonha_1_etapa_2024-04-24_13-29-06.gpx,CR023,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-24_13-33-35 ciclofaixa visc jequitinhonha etapa 1,2024/04/24 16:33:39+00,"083",2024-04-24_13-33-35_ciclofaixa_visc_jequitinhonha_etapa_1_2024-04-24_13-33-35.gpx,CF023,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-24_13-33-40 Ciclofaixa visc jequitinhonha 1 etapa,2024/04/24 16:33:40+00,"084",2024-04-24_13-33-40_Ciclofaixa_visc_jequitinhonha_1_etapa_2024-04-24_13-33-40.gpx,CF023,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-24_14-04-32 Ciclofaixa Rota prof. João Medeiros,2024/04/24 17:04:36+00,"085",2024-04-24_14-04-32_Ciclofaixa_Rota_prof._João_Medeiros_2024-04-24_14-04-32.gpx,CF024,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-24_14-04-33 ciclofaixa professor joao medeiros,2024/04/24 17:04:39+00,"086",2024-04-24_14-04-33_ciclofaixa_professor_joao_medeiros_2024-04-24_14-04-33.gpx,CF024,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-24_14-17-41 ciclorrota prof joao medeiros,2024/04/24 17:17:46+00,"087",2024-04-24_14-17-41_ciclorrota_prof_joao_medeiros_2024-04-24_14-17-41.gpx,CR024,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-24_14-31-29 ciclovia shopping recife,2024/04/24 17:31:31+00,"088",2024-04-24_14-31-29_ciclovia_shopping_recife_2024-04-24_14-31-29.gpx,CV066,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-24_14-33-13 ciclovia Bruno Veloso,2024/04/24 17:33:17+00,"089",2024-04-24_14-33-13_ciclovia_Bruno_Veloso_2024-04-24_14-33-13.gpx,CV066,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
