code,scode,fileName,fileToMerge
141,000,2024-05-06_17-26-47_2024-05-06_17-26-47.gpx,
142,143,2024-05-07_08-07-27_ciclofaixa_rua_manoel_honorato_da_silva_2024-05-07_08-07-27.gpx,2024-05-07_08-07-36_Ciclofaixa_Camaragibe_2024-05-07_08-07-36.gpx
145,146,2024-05-07_08-56-49_CAMARAGIBE_-_Ciclofaixa_RAMAL_ARENA_PERNAMBUCO_2024-05-07_08-56-49.gpx,2024-05-07_09-00-31_ciclofaixa_ramal_arena_pernambuco_-_obs_no_codigo_diz_ciclovia_mas_é_ciclofaixa_2024-05-07_09-00-31.gpx
147,000,2024-05-07_09-26-24_ciclovia_ramal_da_copa_2024-05-07_09-26-24.gpx,
148,000,2024-05-07_09-33-46_ciclovia_ramal_da_copa_Deus_é_fiel_2024-05-07_09-33-46.gpx,
153,154,2024-05-07_11-15-38Sao_Lourenço_ciclovia_arena_Pernambuco_2024-05-07_11-15-38.gpx,2024-05-07_11-15-46_ciclovia_arena_pernambuco_2024-05-07_11-15-46.gpx
155,156,2024-05-07_12-08-04_ciclofaixa_residencial_sao_lourenço_-_inscrito_como_ciclovia_mas_é_ciclofaixa_2024-05-07_12-08-04.gpx,2024-05-07_12-09-03__São_Lourenço_ciclofaixa_-_Residencial_SL_2024-05-07_12-09-03.gpx
157,000,2024-05-07_17-19-40_2024-05-07_17-19-40.gpx,
158,000,2024-05-07_17-39-52_2024-05-07_17-39-52.gpx,
159,000,2024-05-07_17-45-54_2024-05-07_17-45-54.gpx,
160,000,2024-05-08_16-37-10_2024-05-08_16-37-10.gpx,
161,000,2024-05-08_17-49-07_2024-05-08_17-49-07.gpx,
162,139,2024-05-09_13-19-56_AV._AGAMENOM_MAGALHÃES__(SENTIDO_BOA_VIAGEM)_2024-05-09_13-19-56.gpx,2024-05-03_18-55-42_2024-05-03_18-55-42.gpx
163,140,2024-05-09_13-43-31AV._AGAMENOM_MAGALHÃES_(SENTIDO_OLINDA)_2024-05-09_13-43-31.gpx,2024-05-03_19-56-48_2024-05-03_19-56-48.gpx
164,000,2024-05-09_14-45-26_RUA_DO_HOSPÍCIO_(CICLO_NA_CALÇADA)_(Percurso_ciclofaixa_Santo_Antônio)_2024-05-09_14-45-26.gpx,
