id,name,type,code,scode,seg_length,full_id,osm_id,osm_type,highway
way/764026950,Avenida Vinte de Janeiro,Ciclorrota,66,67,379,w141882645,141882645,way,residential
way/764026950,Avenida Vinte de Janeiro,Ciclorrota,66,67,379,w141882795,141882795,way,residential
way/764026950,Avenida Vinte de Janeiro,Ciclorrota,66,67,379,w764026951,764026951,way,residential
way/764026950,Avenida Vinte de Janeiro,Ciclorrota,66,67,379,w141711856,141711856,way,tertiary
way/764026950,Avenida Vinte de Janeiro,Ciclorrota,66,67,379,w151437922,151437922,way,tertiary
way/764026950,Avenida Vinte de Janeiro,Ciclorrota,66,67,379,w762937138,762937138,way,tertiary
way/764026952,Avenida Sul,Ciclorrota,66,67,117,w141872456,141872456,way,residential
way/764026952,Avenida Sul,Ciclorrota,66,67,117,w141873422,141873422,way,residential
way/764026952,Avenida Sul,Ciclorrota,66,67,117,w683265615,683265615,way,residential
way/764026952,Avenida Sul,Ciclorrota,66,67,117,w141711454,141711454,way,secondary
way/764026952,Avenida Sul,Ciclorrota,66,67,117,w141872460,141872460,way,tertiary
way/766721304,Rua Alberto Paiva,Ciclofaixa,263,0,199,w133336286,133336286,way,secondary
way/766721304,Rua Alberto Paiva,Ciclofaixa,263,0,199,w766721306,766721306,way,secondary
way/766721304,Rua Alberto Paiva,Ciclofaixa,263,0,199,w134172139,134172139,way,tertiary
way/766721304,Rua Alberto Paiva,Ciclofaixa,263,0,199,w316580110,316580110,way,tertiary
way/766721304,Rua Alberto Paiva,Ciclofaixa,263,0,199,w645454931,645454931,way,tertiary
way/766721304,Rua Alberto Paiva,Ciclofaixa,263,0,199,w661983593,661983593,way,tertiary
way/766721304,Rua Alberto Paiva,Ciclofaixa,263,0,199,w766721305,766721305,way,tertiary
way/770273442,Avenida Cruz Cabugá,Ciclofaixa,165,0,13,w128146167,128146167,way,residential
way/770273442,Avenida Cruz Cabugá,Ciclofaixa,165,0,13,w769913133,769913133,way,secondary
way/770273442,Avenida Cruz Cabugá,Ciclofaixa,165,0,13,w770273441,770273441,way,secondary
way/770273442,Avenida Cruz Cabugá,Ciclofaixa,165,0,13,w770273442,770273442,way,secondary
way/770284442,Rua Araripina,Ciclorrota,284,0,114,w132050435,132050435,way,residential
way/770284442,Rua Araripina,Ciclorrota,284,0,114,w762962432,762962432,way,residential
way/770284442,Rua Araripina,Ciclorrota,284,0,114,w762962433,762962433,way,residential
way/770284442,Rua Araripina,Ciclorrota,284,0,114,w777734629,777734629,way,residential
way/770284442,Rua Araripina,Ciclorrota,284,0,114,w582585043,582585043,way,secondary
way/770284442,Rua Araripina,Ciclorrota,284,0,114,w770284441,770284441,way,secondary
way/770730306,Rua João Fernandes Vieira,Ciclofaixa,99,0,187,w369612055,369612055,way,secondary
way/770730306,Rua João Fernandes Vieira,Ciclofaixa,99,0,187,w770730307,770730307,way,secondary
way/770730307,Avenida Montevidéu,Ciclofaixa,252,0,32,w128158633,128158633,way,secondary
way/770730307,Avenida Montevidéu,Ciclofaixa,252,0,32,w369612055,369612055,way,secondary
way/770730307,Avenida Montevidéu,Ciclofaixa,252,0,32,w624878394,624878394,way,secondary
way/770730307,Avenida Montevidéu,Ciclofaixa,252,0,32,w770730306,770730306,way,secondary
way/770730881,Rua Quitério Inácio de Melo,Ciclofaixa,20,0,53,w129812288,129812288,way,residential
way/770730881,Rua Quitério Inácio de Melo,Ciclofaixa,20,0,53,w770730882,770730882,way,residential
way/770730881,Rua Quitério Inácio de Melo,Ciclofaixa,20,0,53,w114690719,114690719,way,primary
way/770730881,Rua Quitério Inácio de Melo,Ciclofaixa,20,0,53,w443630585,443630585,way,primary
way/770730881,Rua Quitério Inácio de Melo,Ciclofaixa,20,0,53,w129812235,129812235,way,secondary
way/771726149,Rua do Pombal,Ciclofaixa,261,0,136,w133439341,133439341,way,residential
way/771726149,Rua do Pombal,Ciclofaixa,261,0,136,w367645795,367645795,way,residential
way/771726149,Rua do Pombal,Ciclofaixa,261,0,136,w762962429,762962429,way,residential
way/771726149,Rua do Pombal,Ciclofaixa,261,0,136,w762962434,762962434,way,residential
way/771726149,Rua do Pombal,Ciclofaixa,261,0,136,w771726150,771726150,way,residential
way/771726149,Rua do Pombal,Ciclofaixa,261,0,136,w243358111,243358111,way,tertiary
way/771726149,Rua do Pombal,Ciclofaixa,261,0,136,w762962435,762962435,way,tertiary
way/773053326,Rua Doutor João Lacerda,Ciclofaixa,51,0,151,w131144911,131144911,way,secondary
